ethics_first_name,ethics_last_name,contribution_first_name,first_name_similarity,,Dept/Board,district,Party,Amount,original_url,ammend_url,dates,File Year
Henry James C.,Aquino,Henry,35.71%,,House,38,Democrat,44385,http://files.hawaii.gov/ethics/disc/2016/FinLong_8501.pdf,,01/07/2016,2016
Ty J.K.,Cullen,Ty,28.57%,,House,39,Democrat,50705,http://files.hawaii.gov/ethics/disc/2016/FinLong_8940.pdf,,02/01/2016,2016
NA,Gonce,Randy,NA,,House,40,Democrat,7972,NA,NA,NA,NA
NA,Martinez,Rosebella,NA,,House,40,Democrat,4540,NA,NA,NA,NA
Robert C.,McDermott,Bob,22.22%,,House,40,Republican,42535.97,http://files.hawaii.gov/ethics/disc/2016/FinLong_8950.pdf,http://files.hawaii.gov/ethics/disc/2016/FinShort_11680.pdf;http://files.hawaii.gov/ethics/disc/2016/FinShort_11681.pdf,02/01/2016;10/07/2016;10/07/2016,2016
NA,Jeremiah,Bryan,NA,,House,41,Republican,12804.33,NA,NA,NA,NA
Matthew S.,LoPresti,Matthew,70.00%,,House,41,Democrat,36308,http://files.hawaii.gov/ethics/disc/2016/FinLong_8746.pdf,,01/27/2016,2016
NA,Ferguson,Nicole,NA,,House,42,Democrat,230,NA,NA,NA,NA
NA,Golojuch,Michael,NA,,House,42,Democrat,200,NA,NA,NA,NA
Sharon E.,Har,Sharon,66.67%,,House,42,Democrat,27600,http://files.hawaii.gov/ethics/disc/2016/FinLong_8890.pdf,,02/01/2016,2016
NA,Awana,Karen,NA,,House,43,Democrat,3700,NA,NA,NA,NA
NA,Eli,Stacelynn,NA,,House,43,Democrat,31052.38,NA,NA,NA,NA
Andria P.,Tupola,Andria,66.67%,,House,43,Republican,43286,http://files.hawaii.gov/ethics/disc/2016/FinLong_8926.pdf,,02/01/2016,2016
NA,Gates,Cedric,NA,,House,44,Democrat,33499.69,NA,NA,NA,NA
NA,Jordan,Jo,NA,,House,44,Democrat,26210,NA,NA,NA,NA
NA,Paaluhi,Marcus,NA,,House,44,Republican,14866,NA,NA,NA,NA
NA,Sequin,Tamiko,NA,,House,44,Republican,4270,NA,NA,NA,NA
Lauren K.,Matsumoto,Lauren,66.67%,,House,45,Republican,28270,http://files.hawaii.gov/ethics/disc/2016/FinLong_8945.pdf,http://files.hawaii.gov/ethics/disc/2016/FinShort_8961.pdf,02/01/2016;02/03/2016,2016
Marcus R.,Oshiro,Marcus,66.67%,,House,46,Democrat,22050,http://files.hawaii.gov/ethics/disc/2016/FinLong_8884.pdf,,01/31/2016,2016
NA,Mataafa,Toagaifasa,NA,,House,47,Republican,1300,NA,NA,NA,NA
NA,Pouha,Feki,NA,,House,47,Republican,16510,NA,NA,NA,NA
NA,Quinlan,Sean,NA,,House,47,Democrat,35060.31,NA,NA,NA,NA
Jarrett K.,Keohokalole,Jarrett,70.00%,,House,48,Democrat,29245,http://files.hawaii.gov/ethics/disc/2016/FinLong_8868.pdf,,01/30/2016,2016
Kenneth T.,Ito,Ken,30.00%,,House,49,Democrat,30225,http://files.hawaii.gov/ethics/disc/2016/FinLong_8761.pdf,,01/28/2016,2016
NA,Shea,Patrick,NA,,House,49,Democrat,24397.57,NA,NA,NA,NA
NA,Hood,Joan,NA,,House,50,Republican,8660,NA,NA,NA,NA
Cynthia H.,Thielen,Cynthia,70.00%,,House,50,Republican,33782,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-10973.pdf,,01/06/2016,2016
Christopher Kalani Cushman,Lee,Christopher,42.31%,,House,51,Democrat,45095.84,http://files.hawaii.gov/ethics/disc/2016/FinLong_8951.pdf,,02/01/2016,2016
